Unnamed: 1;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
Pengeluaran;;;;;;;
;19900;19910;19920;19930;19940;19950;19960
;19900;19910;19920;19930;19940;19950;19960
APBN;;;;;;;
Belanja Negara ;361430;430910;502880;520180;592280;673030;785000
Belanja Pemerintah Pusat ;290820;344740;400680;400930;453110;515730;600270
Pengeluaran Rutin;158460;186080;222820;209370;249100;282530;341220
    Belanja Pegawai ;69090;77530;91450;108950;130110;153470;182810
    Belanja Barang ;17210;22010;24320;29800;37510;47450;65890
    Belanja Modal ;0;0;0;0;0;0;0
    Pembayaran Bunga Utang ;60090;66650;98060;61220;71310;71750;78200
Utang Dalam Negeri;0;0;0;0;0;0;0
Utang Luar Negeri;60090;66650;98060;61220;71310;71750;78200
Tambahan Bunga;0;0;0;0;0;0;0
    Subsidi ;7820;13620;1750;1750;1750;1430;1370
Subsidi BBM ;6270;11870;0;0;0;0;0
Subsidi Non BBM ;1550;1750;1750;1750;1750;1430;1370
     Bantuan Sosial ;0;0;0;0;0;0;0
Pengeluaran rutin lainnya ;4260;6270;7240;7660;8430;8430;12960
Pengeluaran Pembangunan ;132360;158660;177860;191560;204010;233200;259050
    Pembiayaan Pembangunan Rupiah ;48310;70320;86870;100300;103890;115610;134910
    Pembiayaan Proyek;84040;88340;90990;91260;100120;117590;124140
Anggaran Belanja untuk Daerah ;70610;86180;102210;119250;139170;157300;184730
Dana Perimbangan ;70610;86180;102210;119250;139170;157300;184730
    Dana Bagi Hasil ;5030;6790;8020;10690;14820;17500;20720
    Dana Alokasi Umum ;65590;79380;94180;108560;124350;139800;164010
    Dana Alokasi Khusus ;0;0;0;0;0;0;0
Dana otonomi khusus dan penyeimbangan ;0;0;0;0;0;0;0
Realisasi;;;;;;;
Belanja Negara ;397540;445810;520480;578330;626070;653420;822210
Belanja Pemerintah Pusat ;328670;360920;416290;454090;479820;499040;639950
Pengeluaran Rutin;178800;174310;199330;226710;254580;284770;370980
    Belanja Pegawai ;70880;81700;95540;111450;125960;130010;144550
    Belanja Barang ;18420;23280;29290;30320;43190;51750;81090
    Belanja Modal ;0;0;0;0;0;0;0
    Pembayaran Bunga Utang ;49590;50520;57850;61570;61450;66150;66100
Utang Dalam Negeri;0;0;0;0;0;0;0
Utang Luar Negeri;49590;50520;57850;61570;61450;66150;66100
Tambahan Bunga;0;0;0;0;0;0;0
    Subsidi ;35700;12300;8670;14550;15020;1790;16600
Subsidi BBM ;34150;9300;6920;12800;6870;0;14160
Subsidi Non BBM ;1550;3000;1750;1750;8150;1790;2440
     Bantuan Sosial ;0;0;0;0;0;0;0
     Pengeluaran rutin lainnya ;4210;6510;7990;8820;8970;35070;62640
Pengeluaran Pembangunan ;149860;186610;216950;227370;225240;214260;268970
    Pembiayaan Pembangunan Rupiah ;79520;100720;111140;119850;126860;124170;149970
    Pembiayaan Proyek;70350;85900;105810;107530;98380;90090;119000
Anggaran Belanja untuk Daerah ;68870;84900;104200;124250;146250;154380;182260
Dana Perimbangan ;68870;84900;104200;124250;146250;154380;182260
